entrance_year, course_id, course_category, course_name, course_year, credit_required, credit_elective
2020,FRA 204,武蔵野BASIS,フランス語２Ｄ,2年,0,1
2020,FRA 301,武蔵野BASIS,フランス語３Ａ,3年,0,1
2020,FRA 302,武蔵野BASIS,フランス語３Ｂ,3年,0,1
2020,GER 101,武蔵野BASIS,ドイツ語１Ａ,1年,0,1
2020,GER 102,武蔵野BASIS,ドイツ語１Ｂ,1年,0,1
2020,GER 103,武蔵野BASIS,ドイツ語１Ｃ,1年,0,1
2020,GER 104,武蔵野BASIS,ドイツ語１Ｄ,1年,0,1
2020,GER 201,武蔵野BASIS,ドイツ語２Ａ,2年,0,1
2020,GER 202,武蔵野BASIS,ドイツ語２Ｂ,2年,0,1
2020,GER 203,武蔵野BASIS,ドイツ語２Ｃ,2年,0,1
2020,GER 204,武蔵野BASIS,ドイツ語２Ｄ,2年,0,1
2020,GER 301,武蔵野BASIS,ドイツ語３Ａ,3年,0,1
2020,GER 302,武蔵野BASIS,ドイツ語３Ｂ,3年,0,1
2020,SPA 101,武蔵野BASIS,スペイン語１Ａ,1年,0,1
2020,SPA 102,武蔵野BASIS,スペイン語１Ｂ,1年,0,1
2020,SPA 103,武蔵野BASIS,スペイン語１Ｃ,1年,0,1
2020,SPA 104,武蔵野BASIS,スペイン語１Ｄ,1年,0,1
2020,SPA 201,武蔵野BASIS,スペイン語２Ａ,2年,0,1
2020,SPA 202,武蔵野BASIS,スペイン語２Ｂ,2年,0,1
2020,SPA 203,武蔵野BASIS,スペイン語２Ｃ,2年,0,1
2020,SPA 204,武蔵野BASIS,スペイン語２Ｄ,2年,0,1
2020,SPA 301,武蔵野BASIS,スペイン語３Ａ,3年,0,1
2020,SPA 302,武蔵野BASIS,スペイン語３Ｂ,3年,0,1
2020,KOR 101,武蔵野BASIS,韓国語１Ａ,1年,0,1
2020,KOR 102,武蔵野BASIS,韓国語１Ｂ,1年,0,1
2020,KOR 103,武蔵野BASIS,韓国語１Ｃ,1年,0,1
